patternSignature,patternReadable,currentEligible,manual31ColumnCount,manual65PatternCount,lpColumnCount,positiveLpActivity,coveredResidualOrders,coveredResidualQuantity,coverageScarcity,missingResidualWidths,wastePerCar,targetResidualWastePerCar,wasteFit,demandDualUpperBound,lpPoolDensityRank,orderCoverageFrontierRank,lpDualWeightedRank
"4340|1015x1,1080x1,1100x1,1140x1","{1015=1, 1080=1, 1100=1, 1140=1} @4340mm (pw=4335, util=99.9%)","false","0","0","0","0.000000000","14","218","0.056287471","2","265","228.466257669","0.026642694","4.255815947",,"2861","281"
"4330|550x2,980x1,1100x1,1150x1","{550=2, 980=1, 1100=1, 1150=1} @4330mm (pw=4330, util=100.0%)","true","0","0","0","0.000000000","22","312","0.073137121","0","270","228.466257669","0.023510746","1.592539006",,"282","43420"
"4370|860x1,1050x1,1140x1,1320x1","{860=1, 1050=1, 1140=1, 1320=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","4","14","0.003155325","1","230","228.466257669","0.394673123","4.254840507",,"38604","282"
"4320|600x1,840x1,850x1,1015x2","{600=1, 840=1, 850=1, 1015=2} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","8","98","0.013274643","2","280","228.466257669","0.019035385","4.253996807",,"19370","283"
"4380|550x1,600x1,980x1,1100x1,1150x1","{550=1, 600=1, 980=1, 1100=1, 1150=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","22","312","0.073137121","1","220","228.466257669","0.105638367","1.754426062",,"283","39320"
"4350|760x1,840x2,890x1,1015x1","{760=1, 840=2, 890=1, 1015=1} @4350mm (pw=4345, util=99.9%)","false","0","0","0","0.000000000","6","21","0.002443197","2","255","228.466257669","0.036319073","4.251670769",,"43384","284"
"4350|960x1,1090x1,1100x1,1200x1","{960=1, 1090=1, 1100=1, 1200=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","16","285","0.073108415","1","250","228.466257669","0.044377893","1.393724730",,"284","47616"
"4350|1000x1,1050x1,1080x1,1220x1","{1000=1, 1050=1, 1080=1, 1220=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","10","37","0.008110743","1","250","228.466257669","0.044377893","4.251060274",,"23236","285"
"4400|1010x1,1090x1,1100x1,1200x1","{1010=1, 1090=1, 1100=1, 1200=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","16","285","0.073108415","1","200","228.466257669","0.033937123","1.243993847",,"285","50033"
"4340|950x1,1090x1,1100x1,1200x1","{950=1, 1090=1, 1100=1, 1200=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","16","285","0.073108415","1","260","228.466257669","0.030737318","1.846534678",,"286","36741"
"4390|740x1,780x1,840x1,1015x2","{740=1, 780=1, 840=1, 1015=2} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","4","9","0.001187178","3","210","228.466257669","0.051370942","4.249913575",,"51516","286"
"4330|940x1,1090x1,1100x1,1200x1","{940=1, 1090=1, 1100=1, 1200=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","16","285","0.073108415","1","270","228.466257669","0.023510746","1.037317858",,"287","52385"
"4380|1030x1,1050x1,1080x1,1220x1","{1030=1, 1050=1, 1080=1, 1220=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","2","8","0.002224809","2","220","228.466257669","0.105638367","4.249853506",,"44749","287"
"4300|910x1,1090x1,1100x1,1200x1","{910=1, 1090=1, 1100=1, 1200=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","16","285","0.073108415","1","300","228.466257669","0.013786687","1.037317858",,"288","52386"
"4350|860x1,950x1,1220x1,1320x1","{860=1, 950=1, 1220=1, 1320=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","2","8","0.001864185","2","250","228.466257669","0.044377893","4.248892183",,"47113","288"
