oracleColumnId,signature,pattern,cars,odd,oneCar,orderCoverage,inBroad,inRawDeep,bundleFrequency,residualClosures,residualCoverageFraction,samePatternRank,keptAtQuota12,keptAtQuota16,inCurrentDeep550,packingSelected12,packingSelected16,lossStage,detail
"16","4360|1000x2,1100x1,1260x1|1000=[56, 57];1100=[85];1260=[112]|cars=4","1000x2,1100x1,1260x1","4","false","false","1000:56=4|1000:57=4|1100:85=4|1260:112=4","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_LOCAL_CONFIGURATION_PRUNED; locus=width=1100; rank=0/8; configuration was not produced by full local enumeration"
"17","4360|1000x2,1100x1,1260x1|1000=[62, 62];1100=[85];1260=[111]|cars=10","1000x2,1100x1,1260x1","10","false","false","1000:62=20|1100:85=10|1260:111=10","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_LOCAL_CONFIGURATION_PRUNED; locus=width=1000; rank=0/8; configuration was not produced by full local enumeration"
"18","4360|1010x2,1100x1,1240x1|1010=[63, 63];1100=[84];1240=[103]|cars=2","1010x2,1100x1,1240x1","2","false","false","1010:63=4|1100:84=2|1240:103=2","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"19","4360|1090x4|1090=[74, 74, 74, 74]|cars=15","1090x4","15","true","false","1090:74=60","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"20","4360|550x1,900x1,970x3|550=[8];900=[32];970=[39, 39, 39]|cars=6","550x1,900x1,970x3","6","false","false","550:8=6|900:32=6|970:39=18","true","false",,,"",,"false","false","false","true","true","BROAD_KEPT","BROAD_KEPT"
"21","4370|1000x2,1100x1,1270x1|1000=[122, 52];1100=[84];1270=[114]|cars=12","1000x2,1100x1,1270x1","12","false","false","1000:122=12|1000:52=12|1100:84=12|1270:114=12","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_CAR_COUNT_PRUNED; locus=cars=12; rank=0/0; target car count was not processed by completion"
"22","4370|1000x2,1100x1,1270x1|1000=[52, 52];1100=[80];1270=[114]|cars=18","1000x2,1100x1,1270x1","18","false","false","1000:52=36|1100:80=18|1270:114=18","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_CAR_COUNT_PRUNED; locus=cars=18; rank=0/0; target car count was not processed by completion"
"23","4370|1000x2,1100x1,1270x1|1000=[53, 53];1100=[84];1270=[114]|cars=10","1000x2,1100x1,1270x1","10","false","false","1000:53=20|1100:84=10|1270:114=10","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","COMPLETION_CAR_COUNT_PRUNED; locus=cars=10; rank=0/0; target car count was not processed by completion"
"24","4370|550x1,910x1,970x3|550=[8];910=[33];970=[38, 40, 40]|cars=10","550x1,910x1,970x3","10","false","false","550:8=10|910:33=10|970:38=10|970:40=20","true","false",,,"",,"false","false","false","false","false","BROAD_KEPT","BROAD_KEPT"
"25","4370|850x1,1125x1,1150x1,1240x1|850=[21];1125=[90];1150=[95];1240=[106]|cars=6","850x1,1125x1,1150x1,1240x1","6","false","false","850:21=6|1125:90=6|1150:95=6|1240:106=6","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"26","4380|1080x3,1140x1|1080=[72, 73, 73];1140=[94]|cars=2","1080x3,1140x1","2","false","false","1080:72=2|1080:73=4|1140:94=2","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"27","4380|1080x3,1140x1|1080=[73, 73, 73];1140=[94]|cars=6","1080x3,1140x1","6","false","false","1080:73=18|1140:94=6","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"28","4380|790x1,1100x1,1240x1,1250x1|790=[15];1100=[87];1240=[104];1250=[110]|cars=20","790x1,1100x1,1240x1,1250x1","20","false","false","790:15=20|1100:87=20|1240:104=20|1250:110=20","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"29","4380|840x4,1020x1|840=[120, 16, 19, 19];1020=[65]|cars=10","840x4,1020x1","10","false","false","840:120=10|840:16=10|840:19=20|1020:65=10","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
"30","4380|970x2,1220x2|970=[41, 41];1220=[100, 100]|cars=2","970x2,1220x2","2","false","false","970:41=4|1220:100=4","false","false",,,"",,"false","false","false","false","false","RAW_DEEP_NOT_GENERATED","KEY_PATTERN_NOT_SELECTED"
