"inclusionReason","patternSignature","patternReadable","eligible","ineligibleReason","manual31ColumnCount","manual65PatternCount","lpActivity","residualScarcity","coveredResidualOrders","wasteFit","structuralScore","baselineScore","baselineRank","baselineTop60","baselineTop120","lambda0Score","lambda0Rank","lambda0Top60","lambda0Top120","lambda10Score","lambda10Rank","lambda10Top60","lambda10Top120","baselineToLambda0RankDelta","baselineToLambda10RankDelta"
"BASELINE_TOP120","4330|980x2,1100x1,1270x1","{980=2, 1100=1, 1270=1} @4330mm (pw=4330, util=100.0%)","true","","0","0","0.760958599","0.461019405","20","0.023510746","661.042915746","761619.641915746","16","true","true","661.042915746","160","false","false","668.652501736","139","false","false","144","123"
"BASELINE_TOP120","4400|1050x1,1100x1,1125x2","{1050=1, 1100=1, 1125=2} @4400mm (pw=4400, util=100.0%)","true","","0","0","0.761085993","0.359512096","14","0.033937123","499.546033123","761585.539033123","17","true","true","499.546033123","606","false","false","507.156893053","594","false","false","589","577"
"BASELINE_TOP120","4370|790x1,1100x1,1240x2","{790=1, 1100=1, 1240=2} @4370mm (pw=4370, util=100.0%)","true","","0","0","0.665520390","0.454202130","18","0.394673123","634.596803123","666154.986803123","18","true","true","634.596803123","251","false","false","641.252007023","235","false","false","233","217"
"BASELINE_TOP120","4330|850x1,1130x2,1220x1","{850=1, 1130=2, 1220=1} @4330mm (pw=4330, util=100.0%)","true","","0","0","0.630542996","0.115483790","7","0.023510746","185.507300746","630728.503300746","19","true","true","185.507300746","2822","false","false","191.812730706","2731","false","false","2803","2712"
"BASELINE_TOP120","4380|850x1,970x1,1280x2","{850=1, 970=1, 1280=2} @4380mm (pw=4380, util=100.0%)","true","","0","0","0.533648253","0.128583143","8","0.105638367","208.688781367","533856.941781367","21","true","true","208.688781367","2450","false","false","214.025263897","2302","false","false","2429","2281"
"BASELINE_TOP120","4370|1090x3,1100x1","{1090=3, 1100=1} @4370mm (pw=4370, util=100.0%)","true","","0","0","0.503708123","0.456819607","15","0.394673123","607.214280123","504315.337280123","22","true","true","607.214280123","297","false","false","612.251361353","293","false","false","275","271"
"BASELINE_TOP120","4300|840x1,1100x2,1260x1","{840=1, 1100=2, 1260=1} @4300mm (pw=4300, util=100.0%)","true","","0","0","0.500000000","0.387258447","19","0.013786687","577.272233687","500577.272233687","23","true","true","577.272233687","333","false","false","582.272233687","330","false","false","310","307"
"BASELINE_TOP120","4400|1060x1,1100x2,1140x1","{1060=1, 1100=2, 1140=1} @4400mm (pw=4400, util=100.0%)","true","","0","0","0.500000000","0.377117035","15","0.033937123","527.150972123","500527.150972123","24","true","true","527.150972123","530","false","false","532.150972123","498","false","false","506","474"
"BASELINE_TOP120","4380|1000x2,1100x1,1280x1","{1000=2, 1100=1, 1280=1} @4380mm (pw=4380, util=100.0%)","true","","0","0","0.442533983","0.395886309","21","0.105638367","605.991947367","443139.974947367","25","true","true","605.991947367","300","false","false","610.417287197","297","false","false","275","272"
"BASELINE_TOP120","4390|550x1,840x1,1000x3","{550=1, 840=1, 1000=3} @4390mm (pw=4390, util=100.0%)","true","","0","0","0.346311174","0.057915148","13","0.051370942","187.966518942","346499.140518942","26","true","true","187.966518942","2787","false","false","191.429630682","2740","false","false","2761","2714"
"BASELINE_TOP120","4350|980x2,1090x1,1300x1","{980=2, 1090=1, 1300=1} @4350mm (pw=4350, util=100.0%)","true","","0","1","0.333333333","0.227119443","11","0.044377893","337.163820893","333670.496820893","27","true","true","337.163820893","995","false","false","340.497154223","968","false","false","968","941"
"BASELINE_TOP120","4400|980x1,1140x3","{980=1, 1140=3} @4400mm (pw=4400, util=100.0%)","true","","0","0","0.318552010","0.113317890","9","0.033937123","203.351827123","318755.361827123","28","true","true","203.351827123","2547","false","false","206.537347223","2498","false","false","2519","2470"
"BASELINE_TOP120","4370|980x1,1100x2,1190x1","{980=1, 1100=2, 1190=1} @4370mm (pw=4370, util=100.0%)","true","","0","0","0.317084092","0.453394655","20","0.394673123","653.789328123","317737.881328123","29","true","true","653.789328123","185","false","false","656.960169043","177","false","false","156","148"
"BASELINE_TOP120","4400|850x2,860x2,980x1","{850=2, 860=2, 980=1} @4400mm (pw=4400, util=100.0%)","true","","0","4","0.311499667","0.206342422","12","0.033937123","326.376359123","311826.043359123","30","true","true","326.376359123","1076","false","false","329.491355793","1062","false","false","1046","1032"
"BASELINE_TOP120","4350|1000x2,1100x1,1250x1","{1000=2, 1100=1, 1250=1} @4350mm (pw=4350, util=100.0%)","true","","0","0","0.265520390","0.395155315","21","0.044377893","605.199692893","266125.589692893","31","true","true","605.199692893","302","false","false","607.854896793","298","false","false","271","267"
"BASELINE_TOP120","4310|850x2,1130x1,1480x1","{850=2, 1130=1, 1480=1} @4310mm (pw=4310, util=100.0%)","true","","0","0","0.250000000","0.111143784","7","0.015991367","181.159775367","250181.159775367","32","true","true","181.159775367","2873","false","false","183.659775367","2842","false","false","2841","2810"
"BASELINE_TOP120","4370|1060x2,1125x2","{1060=2, 1125=2} @4370mm (pw=4370, util=100.0%)","true","","0","0","0.240142511","0.035399418","2","0.394673123","55.794091123","240198.305091123","33","true","true","55.794091123","4620","false","false","58.195516233","4599","false","false","4587","4566"
"BASELINE_TOP120","4400|850x4,1000x1","{850=4, 1000=1} @4400mm (pw=4400, util=100.0%)","true","","0","0","0.239130435","0.138288671","12","0.033937123","258.322608123","239388.757608123","34","true","true","258.322608123","1479","false","false","260.713912473","1458","false","false","1445","1424"
