"inclusionReason","patternSignature","patternReadable","eligible","ineligibleReason","manual31ColumnCount","manual65PatternCount","lpActivity","residualScarcity","coveredResidualOrders","wasteFit","structuralScore","baselineScore","baselineRank","baselineTop60","baselineTop120","lambda0Score","lambda0Rank","lambda0Top60","lambda0Top120","lambda10Score","lambda10Rank","lambda10Top60","lambda10Top120","baselineToLambda0RankDelta","baselineToLambda10RankDelta"
"BASELINE_TOP120","4330|850x1,1000x1,1240x2","{850=1, 1000=1, 1240=2} @4330mm (pw=4330, util=100.0%)","true","","0","3","1.319727891","0.235746298","17","0.023510746","405.769808746","1320133.660808750","6","true","true","405.769808746","687","false","false","418.967087656","677","false","false","681","671"
"BASELINE_TOP120|LAMBDA0_TOP120|LAMBDA10_TOP120","4320|980x2,1100x1,1260x1","{980=2, 1100=1, 1260=1} @4320mm (pw=4320, util=100.0%)","true","","0","0","1.293477966","0.480501364","22","0.019035385","700.520399385","1294178.486399380","7","true","true","700.520399385","66","false","true","713.455179045","54","true","true","59","47"
"BASELINE_TOP120","4390|850x1,1060x1,1240x2","{850=1, 1060=1, 1240=2} @4390mm (pw=4390, util=100.0%)","true","","0","0","1.285714286","0.220627005","10","0.051370942","320.678375942","1286034.964375940","8","true","true","320.678375942","1113","false","false","333.535518802","1033","false","false","1105","1025"
"BASELINE_TOP120","4390|790x1,1100x1,1250x2","{790=1, 1100=1, 1250=2} @4390mm (pw=4390, util=100.0%)","true","","0","0","1.229864067","0.369902398","14","0.051370942","509.953768942","1230374.020768940","9","true","true","509.953768942","585","false","false","522.252409612","553","false","false","576","544"
"BASELINE_TOP120","4360|980x2,1100x1,1300x1","{980=2, 1100=1, 1300=1} @4360mm (pw=4360, util=100.0%)","true","","0","0","1.000000000","0.455275604","20","0.079784630","655.355388630","1000655.355388630","10","true","true","655.355388630","180","false","false","665.355388630","151","false","false","170","141"
"BASELINE_TOP120","4370|1000x2,1100x1,1270x1","{1000=2, 1100=1, 1270=1} @4370mm (pw=4370, util=100.0%)","true","","0","3","1.000000000","0.397449959","21","0.394673123","607.844632123","1000607.844632120","11","true","true","607.844632123","294","false","false","617.844632123","282","false","false","283","271"
"BASELINE_TOP120","4390|1050x1,1100x2,1140x1","{1050=1, 1100=2, 1140=1} @4390mm (pw=4390, util=100.0%)","true","","0","0","1.000000000","0.358741829","15","0.051370942","508.793199942","1000508.793199940","12","true","true","508.793199942","588","false","false","518.793199942","565","false","false","576","553"
"BASELINE_TOP120","4380|980x1,1100x2,1200x1","{980=1, 1100=2, 1200=1} @4380mm (pw=4380, util=100.0%)","true","","0","0","0.863850334","0.449488435","20","0.105638367","649.594073367","864499.928073367","13","true","true","649.594073367","206","false","false","658.232576707","172","false","false","193","159"
"BASELINE_TOP120","4390|1090x1,1100x3","{1090=1, 1100=3} @4390mm (pw=4390, util=100.0%)","true","","0","0","0.832842148","0.456819607","15","0.051370942","606.870977942","833449.018977942","14","true","true","606.870977942","299","false","false","615.199399422","287","false","false","285","273"
"BASELINE_TOP120","4400|1090x3,1130x1","{1090=3, 1130=1} @4400mm (pw=4400, util=100.0%)","true","","0","1","0.778651272","0.122922788","5","0.033937123","172.956725123","778824.228725123","15","true","true","172.956725123","2961","false","false","180.743237843","2879","false","false","2946","2864"
