patternSignature,patternReadable,eligible,ineligibleReason,rank,selectedTop60,lpActivity,residualScarcity,coveredResidualOrders,wastePerCar,targetResidualWastePerCar,wasteFit,totalScore,widths,stationCount,distinctWidthCount,manual31ColumnCount,manual65PatternCount,manualCarsDistribution,manualOddCount,manualOneCarCount,manualOrderCoverageSummary
"4380|850x3,860x1,970x1","{850=3, 860=1, 970=1} @4380mm (pw=4380, util=100.0%)","true","","41","true","0.102564103","0.119178559","8","220","228.466257669","0.105638367","102763.386761061","850|860|970","5","3","0","0","","0","0",""
"4340|860x1,1100x2,1280x1","{860=1, 1100=2, 1280=1} @4340mm (pw=4340, util=100.0%)","true","","42","true","0.099605799","0.360861078","14","260","228.466257669","0.030737318","100106.690453145","860|1100|1280","4","3","0","0","","0","0",""
"4340|980x2,1100x1,1280x1","{980=2, 1100=1, 1280=1} @4340mm (pw=4340, util=100.0%)","true","","43","true","0.086216207","0.459455755","20","260","228.466257669","0.030737318","86875.693421081","980|1100|1280","4","3","0","0","","0","0",""
"4350|1000x1,1100x2,1150x1","{1000=1, 1100=2, 1150=1} @4350mm (pw=4350, util=100.0%)","true","","44","true","0.069954051","0.399358532","22","250","228.466257669","0.044377893","70573.453659866","1000|1100|1150","4","3","0","0","","0","0",""
"4400|1100x4","{1100=4} @4400mm (pw=4400, util=100.0%)","true","","45","true","0.068631410","0.342487884","12","200","228.466257669","0.033937123","69093.931481485","1100","4","1","0","3","1x1|9x1|22x1","2","1","min=1;avg=1.67;max=2"
"4380|1090x2,1100x2","{1090=2, 1100=2} @4380mm (pw=4380, util=100.0%)","true","","46","true","0.055112180","0.456819607","15","220","228.466257669","0.105638367","55719.104780144","1090|1100","4","2","0","0","","0","0",""
"4350|550x1,860x1,980x3","{550=1, 860=1, 980=3} @4350mm (pw=4350, util=100.0%)","true","","47","true","0.052368890","0.116132833","9","250","228.466257669","0.044377893","52575.067212218","550|860|980","5","3","0","2","8x1|10x1","0","0","min=4;avg=4.00;max=4"
"4320|760x4,1280x1","{760=4, 1280=1} @4320mm (pw=4320, util=100.0%)","true","","48","true","0.047635528","0.025505539","3","280","228.466257669","0.019035385","47691.052770113","760|1280","5","2","0","0","","0","0",""
"4340|980x2,1190x2","{980=2, 1190=2} @4340mm (pw=4340, util=100.0%)","true","","49","true","0.045312632","0.110906771","8","260","228.466257669","0.030737318","45503.569675963","980|1190","4","2","0","0","","0","0",""
"4400|550x3,760x1,840x1,1150x1","{550=3, 760=1, 840=1, 1150=1} @4400mm (pw=4400, util=100.0%)","true","","50","true","0.035792551","0.047383372","9","200","228.466257669","0.033937123","35929.968229175","550|760|840|1150","6","4","0","0","","0","0",""
"4340|860x1,1000x1,1240x2","{860=1, 1000=1, 1240=2} @4340mm (pw=4340, util=100.0%)","true","","51","true","0.034479610","0.141451469","14","260","228.466257669","0.030737318","34761.092226600","860|1000|1240","4","3","0","0","","0","0",""
"4350|840x3,850x1,980x1","{840=3, 850=1, 980=1} @4350mm (pw=4350, util=100.0%)","true","","52","true","0.022370344","0.211694182","15","250","228.466257669","0.044377893","22732.082885159","840|850|980","5","3","0","0","","0","0",""
"4340|1000x1,1100x2,1140x1","{1000=1, 1100=2, 1140=1} @4340mm (pw=4340, util=100.0%)","true","","53","true","0.020720424","0.392236328","22","260","228.466257669","0.030737318","21332.690918087","1000|1100|1140","4","3","0","0","","0","0",""
"4350|1060x1,1090x1,1100x2","{1060=1, 1090=1, 1100=2} @4350mm (pw=4350, util=100.0%)","true","","54","true","0.020014433","0.481209851","16","250","228.466257669","0.044377893","20655.687005654","1060|1090|1100","4","3","0","0","","0","0",""
